Results,EUR/USD Close,EUR/GBP Close,EUR/JPY Close
Average,  1.332,  0.847,125.069
Minimum,   1.192,   0.778,  94.324
Maximum,   1.483,   0.912, 11236.000
Std,   0.058,   0.029, 350.644
# In Calc, 1006, 1006, 1006

Date,EUR/USD Close,EUR/GBP Close,EUR/JPY Close
2011-11-07,1.377,0.858,107.5
2011-11-08,1.3837,0.8593,107.5
2011-11-09,1.3546,0.8508,105.4
2011-11-10,1.3595,0.8538,105.56
2011-11-11,1.3746,0.8554,105.98
2011-11-14,1.3637,0.8569,105.14
2011-11-15,1.3541,0.8555,104.35
2011-11-16,1.3484,0.8561,103.8
2011-11-17,1.3463,0.8549,103.6
2011-11-18,1.3517,0.8561,103.92
2011-11-21,1.3505,0.8625,103.89
2011-11-22,1.351,0.8639,103.98
2011-11-23,1.3356,0.8594,103.29
2011-11-24,1.3338,0.8609,102.82
2011-11-25,1.3233,0.8563,102.88
2011-11-28,1.3294,0.858,103.71
2011-11-29,1.3327,0.8538,103.83
2011-11-30,1.344,0.8559,104.23
2011-12-01,1.3456,0.858,104.57
2011-12-02,1.3402,0.8591,104.51
2011-12-05,1.3392,0.8563,104.08
2011-12-06,1.3401,0.8591,104.13
2011-12-07,1.3413,0.8538,104.16
2011-12-08,1.3331,0.8529,103.58
2011-12-09,1.337,0.8536,103.62
2011-12-12,1.3185,0.8463,102.72
2011-12-13,1.3027,0.8418,101.59
2011-12-14,1.2984,0.8394,101.34
2011-12-15,1.3016,0.8392,101.42
2011-12-16,1.3034,0.8396,101.4
2011-12-19,1.2996,0.8384,101.38
2011-12-20,1.3076,0.8351,101.8
2011-12-21,1.3043,0.8319,101.85
2011-12-22,1.3051,0.8321,101.99
2011-12-23,1.3038,0.836,101.76
2011-12-26,1.3059,0.8354,101.75
2011-12-27,1.3066,0.8338,101.74
2011-12-28,1.2938,0.8373,100.78
2011-12-29,1.2961,0.8406,100.58
2011-12-30,1.2941,0.8332,99.58
2012-01-02,1.2922,0.8336,99.4
2012-01-03,1.305,0.8342,100.04
2012-01-04,1.2947,0.8286,99.32
2012-01-05,1.2779,0.8252,98.66
2012-01-06,1.2721,0.8247,97.97
2012-01-09,1.2769,0.8256,98.08
2012-01-10,1.2774,0.8252,98.14
2012-01-11,1.2705,0.8287,97.67
2012-01-12,1.2825,0.836,98.45
2012-01-13,1.2684,0.8278,97.56
2012-01-16,1.2675,0.8266,97.27
2012-01-17,1.2723,0.8302,97.75
2012-01-18,1.2849,0.8326,98.65
2012-01-19,1.2957,0.8364,99.96
2012-01-20,1.2928,0.8311,99.47
2012-01-23,1.3033,0.8369,100.32
2012-01-24,1.3023,0.8339,101.21
2012-01-25,1.311,0.8368,101.9
2012-01-26,1.3105,0.8351,101.52
2012-01-27,1.3215,0.8399,101.31
2012-01-30,1.3117,0.8361,100.1
2012-01-31,1.3083,0.8299,99.69
2012-02-01,1.3153,0.8309,100.27
2012-02-02,1.3147,0.8316,100.12
2012-02-03,1.3146,0.8314,100.66
2012-02-06,1.3131,0.8296,100.55
2012-02-07,1.3244,0.8329,101.7
2012-02-08,1.326,0.838,102.08
2012-02-09,1.3284,0.8399,103.17
2012-02-10,1.3166,0.8366,102.18
2012-02-13,1.3191,0.8365,102.37
